time               , latitude          , longitude, mod_points , alt_points        , uwnd         , vwnd          , hs         , fp         , dir          , dp            , phs0       , phs1       , phs2       , ptp0      , ptp1      , ptp2      , pdir0        , pdir1          , pdir2         , wind_speed
2025-01-01 06:00:00,  7.2              ,     134.8, 1.8496734  , 1.9663978145981564, -8.015813    , -0.6009407    , 1.8496734  , 0.12461965 ,  58.795044   ,  48.574768    , 1.5105795  , 1.0529088  ,            ,  7.591519 ,  9.043517 ,           ,  80.15515    ,  14.435303     ,               ,  8.038307519365349
2025-01-01 06:00:00,  9.4              ,     135.0, 1.8640776  , 2.1980002         , -8.089496    , -0.48809218   , 1.8640776  , 0.12860124 ,  67.34277    ,  57.074524    , 1.5412966  , 0.7349822  , 0.7250233  ,  7.61389  ,  9.168692 ,  7.220585 ,  84.69861    ,  13.239807     ,  41.457092    ,  8.104207518949226
2025-01-01 06:00:00,  5.6              ,     134.8, 1.4841238  , 1.6315370701326444, -4.15465     , 1.0887535     , 1.4841238  , 0.12617688 ,  58.714478   ,  57.009766    ,            , 1.2675741  , 0.7645643  ,           ,  7.5529985,  9.044974 ,              ,  74.893555     ,  10.688263    ,  4.2949389758484635
2025-01-01 06:00:00, 23.2              ,     132.0, 1.8841271  , 1.7759469497286025, -6.235169    , -3.9520125    , 1.8841271  , 0.12440476 ,  38.8172     ,  43.876343    , 0.85349596 , 1.27517    , 1.079853   ,  4.263127 ,  7.154359 ,  8.488054 ,  49.114746   , 345.76416      , 114.7077      ,  7.382122679739022
2025-01-01 06:00:00, 23.8              ,     131.8, 1.7769307  , 1.8301459720240545, -5.662507    , -3.4278462    , 1.7769307  , 0.12336034 ,  29.891846   ,  74.2345      ,            , 1.4599482  , 1.0015529  ,           ,  7.1071353,  8.525938 ,              , 356.6718       , 116.61896     ,  6.619223148973257
2025-01-01 06:00:00,  7.4              ,     134.8, 1.996564   , 1.9473031131227845, -7.879138    , -0.83929616   , 1.996564   , 0.12544139 ,  59.23291    ,  49.383545    , 1.639217   , 1.1244704  ,            ,  7.586912 ,  9.029116 ,           ,  79.95569    ,  14.85791      ,               ,  7.923713376140934
2025-01-01 06:00:00, 21.8              ,     132.8, 2.1308482  , 1.9990001         , -7.0542045   , -5.8709464    , 2.1308482  , 0.12587015 ,  57.317688   ,  91.07019     , 1.3391185  , 1.253297   , 1.0672333  ,  5.2267632,  8.345002 ,  6.6533465,  49.711487   , 110.84235      , 348.17548     ,  9.177680140400035
2025-01-01 06:00:00, 17.200000000000003,     134.6, 1.8295977  , 1.7259199385372597, -5.3124223   , -0.70209366   , 1.8295977  , 0.12749052 ,  88.992065   ,  88.22797     ,            , 1.7843692  , 0.36616424 ,           ,  7.8687615,  6.6170135,              ,  91.86377      ,   1.3542786   ,  5.358616071426416
2025-01-01 06:00:00,  9.0              ,     135.0, 1.8516722  , 2.139216152100317 , -8.24        , -0.9100018    , 1.8516722  , 0.12859367 ,  65.67035    ,  55.050415    , 1.6136941  , 0.6655589  , 0.58994627 ,  7.580209 ,  9.251228 ,  8.141638 ,  79.42267    ,   7.8879395    ,  31.135254    ,  8.290096698833086
2025-01-01 06:00:00,  7.800000000000001,     135.0, 1.8705616  , 1.980288831865442 , -8.19023     , -1.3000389    , 1.8705616  , 0.12824178 ,  66.59546    ,  55.603638    , 1.6341032  , 0.8913569  ,            ,  7.467474 ,  9.031311 ,           ,  81.08661    ,  14.3967285    ,               ,  8.292766040014225
2025-01-01 06:00:00, 20.8              ,     133.2, 2.0388775  , 2.576866885872746 , -7.853812    , -4.822972     , 2.0388775  , 0.12225713 ,  76.28241    , 107.849976    , 1.4253287  , 1.4455825  ,            ,  5.2690883,  8.201315 ,           ,  37.976562   , 107.31708      ,               ,  9.216475565210814
